Week,Commodity,Trend,Text,RefinedTrend
weekly_02_2025_Eng.txt,dhal,Unknown,Red Dhal 300.00− 360.00313.57 313.75338.97 -0.18 -7.49Hurulla 900.00−1050.00943.75927.50 905.56 16.25 4.22,Stable
weekly_02_2025_Eng.txt,vegetable,Unknown,Vegetable Balaya 800.00−1200.00967.86989.291237.78 -21.43 -21.81,Stable
weekly_02_2025_Eng.txt,egg,Unknown,Raddish 180.00− 360.00248.93 230.36275.56 18.57 -9.66Eggs,Stable
weekly_02_2025_Eng.txt,fish,Unknown,Ladies Fingers 200.00− 340.00278.62 260.00375.00 18.62-25.70Dried Fish,Stable
weekly_02_2025_Eng.txt,chicken,Unknown,Root Crops Chicken (Broiler) 1150.00−1290.001190.001207.691291.82 -17.69 -7.88,Stable
weekly_02_2025_Eng.txt,potato,Unknown,Sweet Potato 200.00− 340.00268.00 243.70291.85 24.30 -8.17Chicken (Curry) 1150.00−1250.001196.671108.331027.27 88.33 16.49,Stable
weekly_02_2025_Eng.txt,vegetable,Unknown,Leafy Vegetable Pork 1200.00−1300.001233.331233.331275.00 0.00 -3.27,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Table 15: Colombo &Suburbs: Retail Prices (Rs/kg or Rs/piece),Stable
weekly_02_2025_Eng.txt,rice,Unknown,Average Price Change Compared to,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Average Price Change Compared to,Stable
weekly_02_2025_Eng.txt,vegetable,Unknown,Paddy Vegetable (Up Country) Snake Gourd,Increase
weekly_02_2025_Eng.txt,onion,Unknown,Red Onion Badulla − Long Beans,Stable
weekly_02_2025_Eng.txt,onion,Unknown,Big Onion Welimada 160.00−180.00 168.00Embilipitiya 180.00−200.00192.50,Stable
weekly_02_2025_Eng.txt,potato,Unknown,Potato Hambantota −,Stable
weekly_02_2025_Eng.txt,vegetable,Unknown,N'Eliya − Vegetable (Low Country) Embilipitiya 80.00−100.00 87.50,Stable
weekly_02_2025_Eng.txt,fruit,Unknown,Moneragala 480.00−520.00496.00Brinjal Fruits (Rs/kg),Stable
weekly_02_2025_Eng.txt,rice,Unknown,Table 16: Farmgate/Producer Prices of Food Commodities in Selected Producing Areas (Rs/kg),Stable
weekly_02_2025_Eng.txt,rice,Unknown,PriceCOMMODITY Range Average,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Price COMMODITY Range Average,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Price COMMODITY,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Rice,Stable
weekly_02_2025_Eng.txt,onion,Unknown,Red Onion,Stable
weekly_02_2025_Eng.txt,onion,Unknown,Big Onion,Stable
weekly_02_2025_Eng.txt,potato,Unknown,Potato,Stable
weekly_02_2025_Eng.txt,dhal,Unknown,Red Dhal 300.00− 300.00 300.00− 360.00 300.00− 320.00300.00− 320.00340.00− 360.00300.00− 320.00300.00− 300.00300.00− 320.00 300.00− 360.00,Stable
